#20
#20
# what-if time: 0.24453186988830566
# cost_requests: 1188	cache_hits: 944
data;

set QUERIES :=  1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22;

param a :=
1 43106304 # ['c_acctbal']
2 39190528 # ['c_custkey']
3 1567342592 # ['l_orderkey']
4 1567342592 # ['l_partkey']
5 1645715456 # ['l_quantity']
6 1567342592 # ['l_shipdate']
7 1567342592 # ['l_suppkey']
8 391897088 # ['o_custkey']
9 391897088 # ['o_orderkey']
10 70541312 # ['p_brand']
11 70541312 # ['p_container']
12 128024576 # ['p_name']
13 52248576 # ['p_partkey']
14 52248576 # ['p_size']
15 96665600 # ['p_type']
16 209002496 # ['ps_partkey']
17 209002496 # ['ps_suppkey']
18 229900288 # ['ps_supplycost']
19 2605056 # ['s_nationkey']
20 2605056 # ['s_suppkey']
;

set combi[0]:= ;
set combi[1]:= 16;
set combi[2]:= 2;
set combi[3]:= 19;
set combi[4]:= 3;
set combi[5]:= 1;
set combi[6]:= 15;
set combi[7]:= 8;
set combi[8]:= 13;
set combi[9]:= 11;
set combi[10]:= 20;
set combi[11]:= 5;
set combi[12]:= 7;
set combi[13]:= 6;
set combi[14]:= 4;
set combi[15]:= 14;
set combi[16]:= 18;
set combi[17]:= 10;
set combi[18]:= 17;
set combi[19]:= 12;
set combi[20]:= 9;

param f4 :=
1 0 2300754.88
2 0 4216967617.09
2 1 61921058.44
2 3 4194241156.8
2 8 1687321988.35
2 10 4158199962.13
2 16 2109001815.98
2 18 2984694021.45
3 0 2739799.35
4 0 1965946.51
4 4 445039.97
5 0 2074836.5
6 0 1690272.88
7 0 1961774.86
8 0 1956434.86
8 6 1933114.67
8 14 1092824.41
9 0 2197433.51
9 10 2194753.66
9 20 1850934.71
10 0 2114923.69
11 0 517787.86
11 3 517708.21
11 18 116349.29
12 0 2180653.1
13 0 1510203.12
13 2 1501012.02
14 0 1582531.8
14 13 1508794.58
15 0 3241530.47
15 10 3228352.34
16 0 429331.82
16 15 417974.14
17 0 109294263046.71
17 9 109294253356.33
17 11 100545179501.7
17 14 8070881.29
17 17 109294252753.45
18 0 6715914.99
18 4 3723072.09
19 0 1953570.45
19 9 1943113.1
19 14 325241.29
19 17 1928488.76
20 0 18593699689176.88
20 1 892159407908.53
20 8 18592892006057.4
20 12 19095792078.48
20 14 1032731798.02
20 18 744029007146.91
20 19 18593586497635.7
21 0 5174404.96
21 4 1975675.33
21 20 4823912.39
22 0 558092.64
22 5 557929.72
22 7 110662.41
;

param budget := 12000000000;
