#14
#14
# what-if time: 0.21746611595153809
# cost_requests: 988	cache_hits: 787
data;

set QUERIES :=  1 3 4 5 6 7 8 9 10 11 12 13 14 15 16 18 19 21 22;

param a :=
1 43106304 # ['c_acctbal']
2 39190528 # ['c_custkey']
3 1567252480 # ['l_orderkey']
4 1567252480 # ['l_partkey']
5 1567252480 # ['l_shipdate']
6 391929856 # ['o_custkey']
7 391929856 # ['o_orderkey']
8 70541312 # ['p_brand']
9 70541312 # ['p_container']
10 52248576 # ['p_size']
11 96665600 # ['p_type']
12 209059840 # ['ps_suppkey']
13 2605056 # ['s_nationkey']
14 2605056 # ['s_suppkey']
;

set combi[0]:= ;
set combi[1]:= 10;
set combi[2]:= 8;
set combi[3]:= 6;
set combi[4]:= 5;
set combi[5]:= 3;
set combi[6]:= 9;
set combi[7]:= 14;
set combi[8]:= 11;
set combi[9]:= 2;
set combi[10]:= 7;
set combi[11]:= 13;
set combi[12]:= 1;
set combi[13]:= 12;
set combi[14]:= 4;

param f4 :=
1 0 2299835.06
2 0 2692741.22
3 0 1965759.68
3 5 441502.74
4 0 2075147.64
5 0 1690273.72
6 0 1962034.22
7 0 1956127.61
7 8 1932805.95
7 14 1044037.17
8 0 2185907.79
8 7 2183178.6
8 10 1839353.02
9 0 2102355.62
10 0 517838.27
10 11 517758.96
10 13 116538.17
11 0 2180876.98
12 0 1521422.2
12 9 1512231.75
13 0 1581706.84
13 4 1493317.22
14 0 3244795.48
14 7 3231617.35
15 0 427931.27
15 1 416492.33
16 0 6717416.24
16 5 3723072.42
17 0 1953519.65
17 2 1928393.85
17 6 1942783.58
17 14 301738.39
18 0 5174313.13
18 5 1975858.94
18 10 4823903.18
19 0 558281.47
19 3 110524.14
19 12 558113.93
;

param budget := 1000000000;
